idiom,pull request,merge,accept,refuse,readability,peformance,systematic refactoring,inertia
List Comprehension,https://github.com/Serchinastico/Kin/pull/80,1,1,,,,,
List Comprehension,https://github.com/xieenze/PolarMask/pull/69/files,,,,,,,
List Comprehension,https://github.com/projecthamster/hamster/pull/696,,,1,,,1,
List Comprehension,https://github.com/huawei-noah/vega/pull/206,1,1,,,,,
List Comprehension,https://github.com/moloch--/RootTheBox/pull/475,1,1,,,,,
List Comprehension,https://github.com/keras-team/keras/pull/15924,1,1,,,,,
List Comprehension,https://github.com/bridgecrewio/checkov/pull/2240,1,1,,,,,
List Comprehension,https://github.com/google/jax/pull/9683,,,1,,1,,
List Comprehension,https://github.com/tensorflow/model-optimization/pull/937,,1,,,,,
List Comprehension,https://github.com/Netflix/lemur/pull/3944,,,1,,,1,
Set comprehension,https://github.com/streamlink/streamlink/pull/4303,,,1,,,1,
Set comprehension,https://github.com/QData/TextAttack/pull/602,1,1,,,,,
Set comprehension,https://github.com/LinOTP/LinOTP/pull/174,,,,,,,
Set comprehension,https://github.com/pyro-ppl/pyro/pull/3007,,1,,,,,
Set comprehension,https://github.com/wagtail/wagtail/pull/7877,1,1,,,,,
Set comprehension,https://github.com/ewels/MultiQC/pull/1614,,,1,,1,,
Set comprehension,https://github.com/ansible/awx/pull/11569,1,1,,,,,
Set comprehension,https://github.com/sass/libsass-python/pull/377,,,1,,,,1
Set comprehension,https://github.com/WeblateOrg/weblate/pull/7128,1,1,,,,,
Set comprehension,https://github.com/django-guardian/django-guardian/pull/769,,,,,,,
Dict comprehension,https://github.com/yahoo/TensorFlowOnSpark/pull/582,,,,,,,
Dict comprehension,https://github.com/cisco/mindmeld/pull/392,,,,,,,
Dict comprehension,https://github.com/zentralopensource/zentral/pull/353,1,1,,,,,
Dict comprehension,https://github.com/neuralmagic/sparseml/pull/510,1,1,,,,,
Dict comprehension,https://github.com/xieenze/PolarMask/pull/68,,,,,,,
Dict comprehension,https://github.com/j-bennet/wharfee/pull/164,,,,,,,
Dict comprehension,https://github.com/docker/docker-py/pull/2941,,,,,,,
Dict comprehension,https://github.com/getsentry/sentry/pull/31248,1,1,,,,,
Dict comprehension,https://github.com/mystic123/tensorflow-yolo-v3/pull/109,1,1,,,,,
Dict comprehension,https://github.com/angr/angr/pull/3096,1,1,,,,,
Chain compare,https://github.com/calebstewart/pwncat/pull/233,,,1,1,,,
Chain compare,https://github.com/sympy/sympy/pull/22891,1,1,,,,,
Chain compare,https://github.com/getsentry/sentry/pull/31245,,,1,1,,,
Chain compare,https://github.com/Ultimaker/Cura/pull/11301,,,1,1,,,
Chain compare,https://github.com/SALib/SALib/pull/496,1,1,,,,,
Chain compare,https://github.com/rockstor/rockstor-core/pull/2350,,1,,,,,
Chain compare,https://github.com/SeldonIO/alibi/pull/578,,,,,,,
Chain compare,https://github.com/glample/Arnold/pull/18,,,,,,,
Chain compare,https://github.com/has2k1/plotnine/pull/558,,,1,1,,,
Chain compare,https://github.com/online-ml/river/pull/842,1,1,,,,,
Truth Test,https://github.com/mozilla/addons-server/pull/18657,,,1,1,,,
Truth Test,https://github.com/kakao/khaiii/pull/109,,,,,,,
Truth Test,https://github.com/PyTorchLightning/pytorch-lightning/pull/11551,1,1,,,,,
Truth Test,https://github.com/mlrun/mlrun/pull/1660,,,1,1,,,
Truth Test,https://github.com/BR-IDL/PaddleViT/pull/156,,,,,,,
Truth Test,https://github.com/ChestnutHeng/Wudao-dict/pull/75,,,,,,,
Truth Test,https://github.com/yqchilde/JDMemberCloseAccount/pull/132,1,1,,,,,
Truth Test,https://github.com/holoviz/holoviews/pull/5188,,,1,1,,,
Truth Test,https://github.com/HIT-SCIR/ltp/pull/555,1,1,,,,,
Truth Test,https://github.com/microsoft/unilm/pull/645,,,,,,,
Loop Else,https://github.com/pathak22/noreward-rl/pull/63,,,,,,,
Loop Else,https://github.com/wbond/package_control/pull/1615,,,,,,,
Loop Else,https://github.com/PaddlePaddle/Paddle/pull/39119,,,,,,,
Loop Else,https://github.com/facelessuser/pymdown-extensions/pull/1573,,,1,1,,,
Loop Else,https://github.com/django-extensions/django-extensions/pull/1702,,1,,,,,
Loop Else,https://github.com/forseti-security/forseti-security/pull/3876,,,,,,,
Loop Else,https://github.com/kivy/python-for-android/pull/2544,1,1,,,,,
Loop Else,https://github.com/sympy/sympy/pull/22896,1,1,,,,,
Loop Else,https://github.com/srusskih/SublimeJEDI/pull/330,1,1,,,,,
Loop Else,https://github.com/SickChill/SickChill/pull/7912,1,1,,,,,
Assign Multiple,https://github.com/buildbot/buildbot/pull/6340,,,,,,,
Assign Multiple,https://github.com/poodarchu/Det3D/pull/164,,,,,,,
Assign Multiple,https://github.com/AI4Finance-Foundation/ElegantRL/pull/101,1,1,,,,,
Assign Multiple,https://github.com/jdavisclark/JsFormat/pull/194,,,,,,,
Assign Multiple,https://github.com/jasonrbriggs/stomp.py/pull/370,,,1,,,,1
Assign Multiple,https://github.com/python/pyperformance/pull/128,,,1,1,,,
Assign Multiple,https://github.com/pytube/pytube/pull/1204,,1,,,,,
Assign Multiple,https://github.com/lmcinnes/pynndescent/pull/166,,1,,,,,
Assign Multiple,https://github.com/jdavisclark/JsFormat/pull/194,,,,,,,
Assign Multiple,https://github.com/postgres/pgadmin4/pull/67,,,,,,,
Call Star,https://github.com/seemoo-lab/internalblue/pull/58,,,,,,,
Call Star,https://github.com/openedx/edx-platform/pull/29795,,,,,,,
Call Star,https://github.com/MhLiao/MaskTextSpotterV3/pull/72,,,,,,,
Call Star,https://github.com/florianfesti/boxes/pull/361,,,1,1,,,
Call Star,https://github.com/facebookresearch/ClassyVision/pull/777,,,1,1,,,
Call Star,https://github.com/micropython/micropython-lib/pull/477,,,1,,1,,
Call Star,https://github.com/apache/tvm/pull/10002,,,1,,,,1
Call Star,https://github.com/crytic/slither/pull/1018,,,1,1,,,
Call Star,https://github.com/xonsh/xonsh/pull/4666,1,1,,,,,
Call Star,https://github.com/pokepetter/ursina/pull/378,,,1,1,,,
For Muti,https://github.com/rstacruz/sparkup/pull/140,,,,,,,
For Muti,https://github.com/DenisTome/Lifting-from-the-Deep-release/pull/58,,,,,,,
For Muti,https://github.com/fxia22/pointnet.pytorch/pull/93,,,,,,,
For Muti,https://github.com/videoflow/videoflow/pull/130,1,1,,,,,
For Muti,https://github.com/bspaans/python-mingus/pull/91,,,,,,,
For Muti,https://github.com/HarryVolek/PyTorch_Speaker_Verification/pull/77,,,,,,,
For Muti,https://github.com/PaddlePaddle/Paddle/pull/39089,1,1,,,,,
For Muti,https://github.com/kemayo/sublime-text-git/pull/578,1,1,,,,,
For Muti,https://github.com/sympy/sympy/pull/23065,,,1,,,,1
For Muti,https://github.com/jfzhang95/pytorch-deeplab-xception/pull/222,,,,,,,
with,https://github.com/beancount/beancount/pull/796,1,1,,,,,
with,https://github.com/Taiko2k/TauonMusicBox/pull/1081,1,1,,,,,
with,https://github.com/eternnoir/pyTelegramBotAPI/pull/2100,1,1,,,,,
with,https://github.com/commixproject/commix/pull/882,1,1,,,,,
with,https://github.com/freeipa/freeipa/pull/7131,,,1,,,,1
with,https://github.com/wkentaro/labelme/pull/1370,1,1,,,,,
with,https://github.com/kakao/khaiii/pull/117,,,,,,,
with,https://github.com/LoRexxar/Kunlun-M/pull/244,,,1,,,,1
with,https://github.com/hfaran/slack-export-viewer/pull/178,1,1,,,,,
with,https://github.com/songluyi/crawl_wechat/pull/8,,,,,,,
fstring,https://github.com/opencve/opencve/pull/329,,,1,,,,1
fstring,https://github.com/LinOTP/LinOTP/pull/225,,,,,,,
fstring,https://github.com/r9y9/deepvoice3_pytorch/pull/233,,,,,,,
fstring,https://github.com/scikit-bio/scikit-bio/pull/1905,,,,,,,
fstring,https://github.com/pkkid/python-plexapi/pull/1316,,,1,,,,1
fstring,https://github.com/tanghaibao/jcvi/pull/618,1,1,,,,,
fstring,https://github.com/tensorflow/tfx/pull/6545,,1,,,,,
fstring,https://github.com/MultiAgentLearning/playground/pull/266,1,1,,,,,
fstring,https://github.com/julrog/nn_vis/pull/49,,,1,,,1,
fstring,https://github.com/qutip/qutip/pull/2281,1,1,,,,,
chain_ass_value,https://github.com/Consensys/mythril/pull/1828,1,1,,,,,
chain_ass_value,https://github.com/facebookresearch/dlrm/pull/370,1,1,,,,,
chain_ass_value,https://github.com/pibooth/pibooth/pull/541,,,,,,,
chain_ass_value,https://github.com/napari/napari/pull/6543,,,,,,,
chain_ass_value,https://github.com/pandas-dev/pandas/pull/56559,,,1,,,,1
chain_ass_value,https://github.com/niklasf/python-chess/pull/1058,1,1,,,,,
chain_ass_value,https://github.com/Instagram/LibCST/pull/1082,1,1,,,,,
chain_ass_value,https://github.com/google-research/scenic/pull/960,,,,,,,
chain_ass_value,https://github.com/apache/tvm/pull/16262,1,1,,,,,
chain_ass_value,https://github.com/ansible/ansible/pull/82439,,,1,,1,,
,,43,50,30,13,3,3,9
