1,"for i in range(0, len(minibatch)):
                terminal = minibatch[i][4]
                # if terminal, only equals reward
                if terminal:
                    y_batch.append(r_batch[i])
                else:
                    y_batch.append(r_batch[i] + GAMMA * np.max(readout_j1_batch[i]))","y_batch = [r_batch[i] if minbatch[i][4] else r_batch[i] + GAMMA * np.max(readout_j1_batch[i]) for i in range(0, len(minibatch))]"
2,"for uv_set in settings.selection_uv_loops:
	for loop in bm.faces[uv_set[0]].loops:
		if loop.vert.index == uv_set[1]:
			loop[uv_layers].select = True
			break","for uv_set_0, uv_set_1, *rest in settings.selection_uv_loops:
	for loop in bm.faces[uv_set_0.loops:
		if loop.vert.index == uv_set_1:
			loop[uv_layers].select = True
			break"
3,if G_ego.number_of_nodes() >= 50 and (G_ego.number_of_nodes() <= 400):,if 50 <= G_ego.number_of_nodes() <= 400:
3,if (G_ego.number_of_nodes() >= 4) and (G_ego.number_of_nodes() <= 20):,if 4 <=  and G_ego.number_of_nodes() <= 20:
4,"for parent in resource_hierarchy.keys():
                    is_root = True
                    for children in resource_hierarchy.values():
                        if parent in children:
                            is_root = False
                            break
                    if is_root:
                        root = parent","for parent in resource_hierarchy.keys():
                    is_root = True
                    for children in resource_hierarchy.values():
                        if parent in children:
                            is_root = False
                            break
                    if is_root:
                        root = parent
                else:
                	root = None"
5,"for user in privileged_users:
        manager = user[""managers_group__user""]
        last_login = user[""managers_group__user__last_login""]

        if last_login:
            if last_login + relativedelta(months=months) > start_of_today:
                active_managers.add(manager)",active_managers = {user["managers_group__user"] if (user["managers_group__user__last_login"] and (user["managers_group__user__last_login"]+relativedelta(months=months) > start_of_today)) for user in privileged_users}
5,,
6,,
7,"self.full_csv_path = """"
        self.dir = """"
        self.filename = """"",self.full_csv_path = self.dir = self.filename = ""
7,"self.csv = None
        self.bokeh_source = None
        self.bokeh_source_orig = None
        self.last_modified = None",self.csv = self.bokeh_source = self.bokeh_source_orig = self.last_modified = None
7,"self.separate_files = False
        self.last_reload_data_fix = False",self.separate_files = self.last_reload_data_fix = False
8,"for row in subdomains:
                content += ""<tr><td>{}</td><td>{}</td><td>{}</td></tr>"".format(row[0],row[1],row[2])","for a,b,c in subdomains:
    content += ""<tr><td>{}</td><td>{}</td><td>{}</td></tr>"".format(a,b,c)"
